Hand Category,Bet 33% Pot Combos,Check Combos
set,"aKK,a55,JcJh,JdJc","JdJh"
two pair,"oKJ","sKJ,sK5"
overpair,"AdAh,AdAc,AsAd,AsAh,AsAc","AcAh"
top pair,"aAK,sKQ,aKT","oKQ,sK6,sK7,sK8,sK9"
pp < top card,"QcQs","QsQh,QsQd,QcQh,QdQc,QdQh"
middle pair,"sQJ,sQT,sAJ","oQJ,oQT,oAJ"
weak pair,"a22,a33,a44,s54,a66,a77,s65,aA5","a99,aTT,a88"
ace high,"Ah4h,Ad4d,Ah3h,Ad3d,Ah2h,Ad2d,Ad6d,Ah6h","Ad9d,Ah9h,Ad8d,Ah8h,Ad7d"
flush draw (no pair),"QsTs,Ts9s,Qs9s,As4s,As3s,As2s,Qs8s,8s7s,7s6s","AsQs,AsTs,As9s,As8s,As7s,As6s,9s8s"
oesd,"QcTc,QcTh,QcTd,QdTc,QhTc,QhTd,QdTh","QdTd,QhTh,QcTs,QdTs,QhTs,QsTc,QsTh,QsTd"
gutshot,"oAQ,Tc9c,Td9d,Th9h,Qc9c,Qd9d,Qh9h","oAT,AhTh,AdTd,AcTc,AhQh,AdQd,AcQc"
2crd backdoor flush draw,"Ac4c,Ac3c,Ac6c,Ac2c,7c6c","Ac9c,Ac8c,Ac7c,Qc8c,9c8c,8c7c"
Air,"","Qd8d,Qh8h,9d8d,9h8h,8d7d,8h7h,7d6d,7h6h"
Total,0.57,0.43
