Hand Category,Bet 33% Pot Combos,Check Combos
set,"aQQ,a22","aTT"
two pair,"oQT,QcTc","QhTh,QdTd"
overpair,"AsAc,AsAd,AsAh","aKK,AcAh,AdAc,AdAh"
top pair,"sAQ","oAQ,aKQ,aQJ,sQ9,sQ8"
pp < top card,"","aJJ"
middle pair,"oKT","sKT,aAT,sJT,sT9"
weak pair,"5s5c,5s5d,5s5h,4s4c,4s4d,4s4h,3s3c,3s3d,3s3h,Ad2d,Ah2h","5c5h,5d5c,5d5h,4c4h,4d4c,4d4h,3c3h,3d3c,3d3h,a99,a88,a77,a66"
ace high,"","Ad9d,Ah9h,Ad8d,Ah8h,Ad7d,Ah7h,Ad6d,Ah6h,Ad5d,Ah5h,Ad4d,Ah4h,Ad3d,Ah3h"
flush draw (no pair),"AsKs,KsJs,AsJs,As2s,5s4s,6s5s,7s6s,8s7s","Ks9s,As9s,As8s,9s8s,As7s,As5s,As6s,As4s,As3s,Ks8s,Ks7s,Ks6s,Ks5s"
oesd,"","oKJ,KhJh,KdJd,KcJc"
gutshot,"Kc9c,Kd9d,Kh9h,oAK,AdKd,AcKc,AhKh,AcJc","9h8h,9d8d,9c8c,oAJ,AdJd,AhJh"
2crd backdoor flush draw,"Ac3c","Ac9c,Ac8c,Ac7c,Ac6c,Ac5c,Ac4c,Kc8c,5c4c,6c5c,7c6c,8c7c,Kc7c,Kc6c,Kc5c"
Air,"","Kd8d,Kh8h,Kh7h,Kd7d,Kd6d,Kh6h,Kh5h,Kd5d,8d7d,8h7h,7d6d,7h6h,6d5d,6h5h,5d4d,5h4h"
Total,0.2,0.8
